iter	Passed	Remaining
644	841	463
645	842	461
646	843	460
647	844	458
648	845	457
649	846	455
650	847	454
651	848	452
652	849	451
653	850	449
654	851	448
655	852	447
656	853	445
657	855	444
658	856	443
659	857	441
660	858	440
661	859	438
662	860	437
663	861	436
664	862	434
665	863	433
666	864	431
667	865	430
668	867	429
669	868	427
670	870	426
671	871	425
672	872	423
673	873	422
674	874	421
675	875	419
676	876	418
677	877	416
678	878	415
679	879	414
680	881	412
681	882	411
682	884	410
683	886	409
684	887	408
685	888	406
686	889	405
687	890	403
688	891	402
689	892	401
690	894	399
691	895	398
692	897	397
693	898	396
694	900	394
695	901	393
696	902	392
697	903	391
698	905	389
699	906	388
700	907	386
701	908	385
702	910	384
703	912	383
704	913	382
705	915	381
706	917	380
707	918	378
708	920	377
709	922	376
710	923	375
711	924	374
712	928	373
713	930	372
714	931	371
715	932	369
716	933	368
717	934	367
718	935	365
719	936	364
720	938	362
721	939	361
722	941	360
723	942	359
724	943	358
725	945	356
726	946	355
727	947	354
728	949	352
729	950	351
730	951	350
731	952	348
732	953	347
733	957	346
734	958	345
735	959	344
736	960	342
737	963	342
738	965	340
739	966	339
740	967	338
741	968	336
742	971	335
743	972	334
744	973	333
745	975	332
746	976	330
747	977	329
748	978	328
749	979	326
750	981	325
751	982	323
752	983	322
753	985	321
754	986	320
755	987	318
756	989	317
757	991	316
758	993	315
759	994	314
760	996	312
761	997	311
762	998	310
763	1001	309
764	1002	307
765	1004	306
766	1005	305
767	1006	304
768	1007	302
769	1008	301
770	1009	299
771	1011	298
772	1012	297
773	1014	296
774	1015	294
775	1017	293
776	1018	292
777	1020	291
778	1021	289
779	1022	288
780	1023	286
781	1024	285
782	1025	284
783	1026	282
784	1027	281
785	1029	280
786	1031	279
787	1033	277
788	1035	276
789	1037	275
790	1039	274
791	1041	273
792	1044	272
793	1045	271
794	1048	270
795	1050	269
796	1052	268
797	1054	266
798	1056	265
799	1058	264
800	1060	263
801	1062	262
802	1063	260
803	1065	259
804	1067	258
805	1068	257
806	1069	255
807	1071	254
808	1073	253
809	1075	252
810	1076	250
811	1079	249
812	1081	248
813	1082	247
814	1084	246
815	1086	245
816	1088	243
817	1090	242
818	1092	241
819	1094	240
820	1095	238
821	1096	237
822	1098	236
823	1099	234
824	1101	233
825	1103	232
826	1105	231
827	1107	229
828	1108	228
829	1109	227
830	1110	225
831	1112	224
832	1113	223
833	1114	221
834	1116	220
835	1117	219
836	1118	217
837	1120	216
838	1121	215
839	1122	213
840	1124	212
841	1125	211
842	1126	209
843	1128	208
844	1129	207
845	1132	206
846	1134	204
847	1135	203
848	1136	202
849	1138	200
850	1139	199
851	1140	198
852	1142	196
853	1143	195
854	1145	194
855	1146	192
856	1149	191
857	1151	190
858	1153	189
859	1154	187
860	1155	186
861	1157	185
862	1160	184
863	1163	183
864	1164	181
865	1166	180
866	1167	179
867	1169	177
868	1170	176
869	1172	175
870	1173	173
871	1175	172
872	1177	171
873	1178	169
874	1180	168
875	1182	167
876	1183	166
877	1185	164
878	1186	163
879	1189	162
880	1191	160
881	1192	159
882	1193	158
883	1194	156
884	1196	155
885	1198	154
886	1199	152
887	1201	151
888	1202	150
889	1204	148
890	1206	147
891	1208	146
892	1210	145
893	1211	143
894	1212	142
895	1214	140
896	1215	139
897	1216	138
898	1218	136
899	1221	135
900	1225	134
901	1226	133
902	1228	131
903	1229	130
904	1230	129
905	1233	127
906	1234	126
907	1236	125
908	1237	123
909	1238	122
910	1240	121
911	1241	119
912	1242	118
913	1243	116
914	1244	115
915	1245	114
916	1246	112
917	1247	111
918	1249	110
919	1250	108
920	1251	107
921	1252	105
922	1253	104
923	1254	103
924	1256	101
925	1257	100
926	1258	99
927	1259	97
928	1260	96
929	1262	95
930	1264	93
931	1265	92
932	1267	90
933	1268	89
934	1269	88
935	1270	86
936	1272	85
937	1273	84
938	1274	82
939	1275	81
940	1276	80
941	1277	78
942	1278	77
943	1280	75
944	1281	74
945	1282	73
946	1283	71
947	1284	70
948	1285	69
949	1286	67
950	1287	66
951	1288	64
952	1289	63
953	1290	62
954	1292	60
955	1293	59
956	1294	58
957	1295	56
958	1296	55
959	1297	54
960	1298	52
961	1299	51
962	1300	49
963	1301	48
964	1303	47
965	1304	45
966	1305	44
967	1307	43
968	1308	41
969	1309	40
970	1310	39
971	1311	37
972	1313	36
973	1314	35
974	1315	33
975	1316	32
976	1317	31
977	1318	29
978	1319	28
979	1320	26
980	1322	25
981	1323	24
982	1324	22
983	1325	21
984	1326	20
985	1328	18
986	1329	17
987	1330	16
988	1331	14
989	1332	13
990	1333	12
991	1334	10
992	1335	9
993	1336	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1343	1
999	1344	0
